TimeToSolve= 57.515
Objective= 8.484
NumberOfIterations= 3914940
NumberOfConstrains= 7898
NumberOfVariables= 6496
tf= 13
RelativeGap= 0
LowerBound= 8.484
Iteration t = 0, location = 18
Iteration t = 1, location = 50
Iteration t = 2, location = 51
Iteration t = 3, location = 52
Iteration t = 4, location = 53
Iteration t = 5, location = 7
Iteration t = 6, location = 14
Iteration t = 7, location = 62
Iteration t = 8, location = 63
Iteration t = 9, location = 8
Iteration t = 10, location = 15
Iteration t = 11, location = 65
Iteration t = 12, location = 64
Iteration t = 13, location = 64
