TimeToSolve= 147.797
Objective= 14.704
NumberOfIterations= 9603076
NumberOfConstrains= 7898
NumberOfVariables= 6496
tf= 13
RelativeGap= 0
LowerBound= 14.704
Iteration t = 0, location = 18
Iteration t = 1, location = 50
Iteration t = 2, location = 7
Iteration t = 3, location = 53
Iteration t = 4, location = 14
Iteration t = 5, location = 51
Iteration t = 6, location = 62
Iteration t = 7, location = 52
Iteration t = 8, location = 63
Iteration t = 9, location = 8
Iteration t = 10, location = 65
Iteration t = 11, location = 15
Iteration t = 12, location = 64
Iteration t = 13, location = 64
